objectid,eer16cd,eer16nm,bng_e,bng_n,long,lat,st_areasha,st_lengths,cx,cy
1,E15000001,North East,417313,600358,-1.72889996,55.297031399999995,8592429294.685255,1008449.8953887353,-1.9051833267841527,55.01727436435067
2,E15000002,North West,350015,506280,-2.7723701,54.44945145,14164090919.130682,2075328.7663391598,-2.72259951186947,54.05699193114739
3,E15000003,Yorkshire and The Humber,446903,448736,-1.28711998,53.93264008,15409123120.388086,1385387.9962047457,-1.2737099177226767,53.986105602823564
4,E15000004,East Midlands,477660,322635,-0.84966999,52.79571915,15643272185.218018,1332322.3384450895,-0.8075514581067609,52.92707598132337
5,E15000005,West Midlands,386294,295477,-2.2035799,52.55696869,13003737769.264105,953904.3384627176,-2.270826426799708,52.48030980158731
6,E15000006,Eastern,571074,263229,0.50414598,52.24066925,19135563176.27473,2646578.3070902466,0.537517487040288,52.25290732674499
7,E15000007,London,517516,178392,-0.30864,51.492271419999994,1573509550.5297382,420201.36255408573,-0.11103834781303795,51.500592277714915
8,E15000008,South East,470062,172924,-0.99311,51.450969699999995,19088796316.109154,2443203.1953762416,-0.5246275429870462,51.29387438977502
9,E15000009,South West,285015,102567,-3.63343,50.811191560000005,23851369724.936245,3400393.290396109,-3.128309485872201,51.00197123694474
10,S15000001,Scotland,277746,700060,-3.97091007,56.1774292,78811016185.83511,18924121.950170685,-4.016610723735825,56.68489435576795
11,W08000001,Wales,263406,242881,-3.99415994,52.06740952,20782129948.094337,3082431.987196108,-3.7413190429945202,52.300121153434056
